ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"45.112.125.58","elite","AS58369","ID","FIBERNET","185","N/A","4145","socks4","3392","1","2023-07-07T10:07:33.146Z","99","2672","2694"
"165.227.104.122","elite","AS14061","US","DigitalOcean, LLC","86","DigitalOcean, LLC","48500","socks5","4799","1","2023-07-07T10:07:32.831Z","100","2759","2770"
"168.227.158.9","elite","AS52898","BR","Multipla ServiÔos Inteligentes","201","Multipla Serviços Inteligentes","4145","socks4","4586","1","2023-07-07T10:07:32.829Z","99","2705","2720"
"88.135.44.39","elite","AS57391","IR","Laser Company Ltd","102","Laser Company Ltd","4153","socks4","5300","1","2023-07-07T10:07:32.831Z","71","1900","2693"
"204.10.182.34","elite","AS1819","US","DCM Cable Inc.","102","DCM Cable Inc","39593","socks4","5208","1","2023-07-07T10:07:32.833Z","100","2766","2766"
"114.88.100.108","elite","AS4812","CN","China Telecom (Group)","182","Chinanet SH","57114","socks4","4503","1","2023-07-07T10:07:30.643Z","65","1744","2690"
"70.32.26.22","elite","AS55293","US","A2 Hosting, Inc.","95","A2 Hosting, Inc.","36546","socks5","4703","1","2023-07-07T10:07:30.645Z","100","2666","2668"
"201.251.155.253","elite","AS22927","AR","Telefonica de Argentina","298","Cooperativa Telefonica OYIKIL LTDA","5678","socks4","3442","1","2023-07-07T10:07:30.446Z","98","2609","2650"
"178.134.79.250","elite","AS35805","GE","JSC \"Silknet\"","81","Silknet - 6","5678","socks4","4795","1","2023-07-07T10:07:30.445Z","100","2742","2744"
"47.243.230.63","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","290","Alibaba.com LLC","61502","socks4","5004","1","2023-07-07T10:07:30.723Z","96","2648","2770"
"47.243.207.3","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","275","Alibaba.com LLC","33967","socks5","4918","1","2023-07-07T10:07:30.723Z","53","1451","2738"
"36.94.234.177","elite","AS7713","ID","PT. Telekomunikasi Indonesia","235","Telekomunikasi Indonesia","5678","socks4","4606","1","2023-07-07T10:07:30.721Z","100","2709","2722"
"185.89.156.130","elite","AS198279","AL","ATU","40","N/A","5678","socks4","4787","1","2023-07-07T10:07:30.722Z","99","2681","2699"
"107.174.121.140","elite","AS36352","US","ColoCrossing","115","RackNerd LLC","3128","socks4","4600","1","2023-07-07T10:07:30.725Z","56","1506","2682"
"104.36.7.201","elite","AS55077","US","Light Speed Technologies LLC","159","Light Speed Technologies LLC","1337","socks4","4689","1","2023-07-07T10:07:30.724Z","100","2701","2702"
"183.177.127.42","elite","AS55341","IN","51/A RACHNA MIDAS GOKULPETH","168","N/A","5678","socks4","4691","1","2023-07-07T10:07:30.723Z","53","1471","2773"
"178.32.116.99","elite","AS16276","FR","OVH SAS","8","OVH ISP","62763","socks4","4599","1","2023-07-07T10:07:30.535Z","100","2694","2704"
"45.56.83.46","elite","AS63949","US","Akamai Technologies, Inc.","186","Linode","8047","socks4","4799","95","2023-07-07T10:07:28.041Z","95","2553","2687"
"110.139.125.237","elite","AS7713","ID","PT. TELKOM INDONESIA","232","N/A","4145","socks4","4598","1","2023-07-07T10:07:28.633Z","86","2335","2711"
"172.67.209.12","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","4602","1","2023-07-07T10:07:28.635Z","100","2667","2667"
"75.119.207.148","elite","AS26347","US","New Dream Network, LLC","162","New Dream Network, LLC","32238","socks4","4507","1","2023-07-07T10:07:28.633Z","100","2760","2761"
"103.23.101.30","elite","AS58400","ID","Universitas Negeri Semarang, y","194","UNNES","4145","socks4","4997","1","2023-07-07T10:07:28.635Z","100","2728","2734"
"46.61.17.251","elite","AS12389","RU","BRAS Huawei ME60 (128kusers)","90","OJSC Rostelecom Macroregional Branch South","3128","socks5","3408","1","2023-07-07T10:07:28.632Z","62","1671","2699"
"117.54.12.7","elite","AS9340","ID","PT IndoInternet","192","N/A","5678","socks4","4910","1","2023-07-07T10:07:28.043Z","100","2744","2748"
"104.16.230.163","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5098","1","2023-07-07T10:07:28.637Z","100","2751","2752"
"101.51.121.203","elite","AS23969","TH","TOT Public Company Limited","197","TOT Public Company Limited","4153","socks4","4792","1","2023-07-07T10:07:28.637Z","78","2156","2771"
"5.8.64.55","elite","AS44812","RU","IP SERVER LLC","79","Worldbyte","8080","socks5","4601","1","2023-07-07T10:07:28.634Z","96","2552","2666"
"23.227.38.198","elite","AS13335","CA","Cloudflare, Inc.","86","Shopify, Inc.","80","socks4","4720","1","2023-07-07T10:07:28.040Z","100","2769","2770"
"139.59.6.54","elite","AS14061","IN","DIGITALOCEAN","195","DigitalOcean, LLC","54571","socks5","2792","1","2023-07-07T10:07:28.046Z","99","2728","2769"
"187.155.218.135","elite","AS8151","MX","Uninet S.A. de C.V.","152","Uninet S.A. de C.V.","8081","socks5","4696","1","2023-07-07T10:07:28.044Z","91","2522","2770"
"155.133.83.253","elite","AS42366","PL","TerraTransit AG","97","MIKRONET Wenderski Jaroslaw","58351","socks4","4815","1","2023-07-07T10:07:28.147Z","90","2502","2782"
"176.236.98.171","elite","AS34984","TR","Superonline Iletisim Hizmetleri A.S.","72","Veganet Teknolojileri VE Hizmetleri Limited","9090","socks5","5002","1","2023-07-07T10:07:28.636Z","100","2702","2711"
"192.81.225.9","elite","AS32678","CA","Fidalia Networks Inc","92","DSA Consultants","33140","socks4","2492","1","2023-07-07T10:07:28.234Z","99","2730","2746"
"41.225.229.55","elite","AS37671","TN","3S INF","77","ATI - Agence Tunisienne Internet","1080","socks4","3815","1","2023-07-07T10:07:28.636Z","99","2683","2720"
"189.138.115.211","elite","AS8151","MX","Uninet S.A. de C.V","186","Gestión de direccionamiento UniNet","80","socks4","4796","1","2023-07-07T10:07:26.420Z","90","2404","2660"
"172.104.35.230","elite","AS63949","SG","Akamai Technologies","191","Linode","25140","socks5","4690","1","2023-07-07T10:07:26.421Z","99","2650","2666"
"103.48.58.213","elite","AS58678","IN","SHRIGANESH","273","N/A","8080","socks4","4609","1","2023-07-07T10:07:26.419Z","100","2676","2689"
"217.115.115.253","elite","AS30900","IE","Sternforth Ltd. trading as WebWorld","24","Webworld","56792","socks5","5089","1","2023-07-07T10:07:26.422Z","92","2564","2772"
"151.248.117.232","elite","AS197695","RU","Reg.Ru","53","N/A","5555","socks4","4594","1","2023-07-07T10:07:26.422Z","99","2707","2728"
"182.16.191.202","elite","AS17995","ID","PT iForte Global Internet","864","N/A","5678","socks4","4005","1","2023-07-07T10:07:26.423Z","68","1851","2714"
"217.66.223.186","elite","AS24631","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","182","Fanaptelecom Network","5678","socks5","4803","1","2023-07-07T10:07:26.423Z","87","2384","2746"
"1.0.153.130","elite","AS23969","TH","TOT Public Company Limited","183","TOT Public Company Limited","4145","socks4","4896","1","2023-07-07T10:07:25.658Z","64","1710","2680"
"192.154.195.76","elite","AS64200","US","Vivid-hosting LLC","144","Vivid-hosting LLC","9000","socks5","4809","1","2023-07-07T10:07:25.656Z","100","2644","2648"
"45.196.150.222","elite","AS7018","US","AT&T Services, Inc.","81","AQUA Networks Limited","5432","socks4","5090","1","2023-07-07T10:07:25.657Z","97","2620","2702"
"114.242.116.50","elite","AS4808","CN","China Unicom Beijing Province Network","302","N/A","4145","socks4","4999","1","2023-07-07T10:07:25.654Z","80","2203","2770"
"129.226.90.145","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","326","Aceville Pte.ltd","443","socks5","4512","1","2023-07-07T10:07:25.655Z","80","2193","2751"
"173.249.2.150","elite","AS51167","DE","Contabo GmbH","94","Contabo GmbH","57725","socks4","4499","1","2023-07-07T10:07:23.436Z","100","2652","2662"
"108.28.33.157","elite","AS701","US","Verizon Business","90","Verizon Online LLC","8080","socks4","2487","1","2023-07-07T10:07:23.620Z","100","2704","2706"
"103.82.11.233","elite","AS136156","BD","FNF Online","275","N/A","4153","socks4","4989","1","2023-07-07T10:07:23.247Z","99","2729","2758"
"106.14.207.142","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","209","Aliyun Computing Co., LTD","8081","socks5","3386","1","2023-07-07T10:07:23.621Z","60","1638","2742"
"185.108.164.176","elite","AS56503","IR","PJSC \"Badr Rayan Jonoob\"","131","BadrRayan BornaRayan","58154","socks4","5014","1","2023-07-07T10:07:23.250Z","69","1880","2742"
"46.148.45.119","elite","AS43395","IR","Pooya Parto Qeshm Cooperative Company","211","PartPayam Shahin Shahr ISP","5678","socks4","4791","1","2023-07-07T10:07:23.248Z","91","2409","2648"
"103.212.93.241","elite","AS138312","IN","Best Telnet Services Private Limited","145","Best telnet services private limited","45639","socks4","5108","1","2023-07-07T10:07:23.619Z","99","2757","2777"
"51.77.73.68","elite","AS16276","DE","OVH SAS","11","Sastre Vazquez Antonio","31979","socks4","4498","1","2023-07-07T10:07:23.621Z","100","2708","2713"
"117.241.135.33","elite","AS9829","IN","BSNL Internet","189","N/A","5678","socks4","5010","1","2023-07-07T10:07:23.248Z","97","2697","2773"
"41.207.251.194","elite","AS37540","NG","Winrock Nigeria Limited","199","Winrock","8080","socks4","3604","1","2023-07-07T10:07:23.249Z","56","1515","2697"
"193.124.189.13","elite","AS209641","RU","I-servers LTD","84","I-servers LTD","80","socks4","4895","1","2023-07-07T10:07:23.618Z","100","2683","2694"
"102.66.237.48","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","190","Herotel","5678","socks4","4997","1","2023-07-07T10:07:21.041Z","57","1528","2692"
"113.69.224.203","elite","AS4134","CN","Chinanet","294","Chinanet GD","8118","socks5","2995","83","2023-07-07T10:07:21.036Z","29","779","2654"
"197.234.13.44","elite","AS36902","SC","Intelvision","196","Intelvision Ltd","4145","socks4","4986","1","2023-07-07T10:07:21.034Z","100","2749","2761"
"103.111.160.41","elite","AS59323","PK","Punjab Information Technology Board","186","Pitb Punjab","5678","socks4","2687","1","2023-07-07T10:07:21.040Z","98","2736","2781"
"111.53.178.249","elite","AS56042","CN","China Mobile communications corporation","271","China Mobile","7302","socks5","4909","1","2023-07-07T10:07:21.109Z","75","1991","2648"
"188.255.245.177","elite","AS52116","RS","Orion Telekom ISP IP Network in Subotica","39","Orion Telekom Tim d.o.o.Beograd","1080","socks4","4802","1","2023-07-07T10:07:21.033Z","100","2779","2780"
"82.194.133.209","elite","AS8445","AT","SALZBURG-AG","30","Salzburg AG","4153","socks4","4808","1","2023-07-07T10:07:21.149Z","96","2639","2763"
"186.47.232.243","elite","AS28006","EC","Corporacion Nacional De Telecomunicaciones - CNT EP","178","Corporacion Nacional De Telecomunicaciones - CNT EP","5678","socks4","4703","1","2023-07-07T10:07:21.038Z","98","2711","2766"
"103.88.126.170","elite","AS134006","IN","Sheng Li Telecom India Private Limited","194","Xantel Corporation Pvt Ltd","5678","socks4","3230","2","2023-07-07T10:07:20.950Z","98","2720","2765"
"103.53.110.45","elite","AS133970","IN","Tycoon Computers Pvt. Ltd.","165","Tycoon Computers Pvt. Ltd.","10801","socks4","4401","1","2023-07-07T10:07:19.328Z","98","2686","2738"
"118.174.46.144","elite","AS131293","TH","TOT Public Company Limited","188","TOT Public Company Limited","45764","socks4","4596","1","2023-07-07T10:07:19.327Z","97","2653","2742"
"80.235.239.130","elite","AS5089","GB","TalkTalk","73","Pccw Global Networks  UK  PLC","1080","socks4","4990","1","2023-07-07T10:07:19.327Z","94","2609","2771"
"45.8.104.168","elite","AS209242","DE","Cloudflare London","91","Araxio Development N.V","80","socks4","4999","82","2023-07-07T10:07:18.645Z","100","2704","2704"
"110.78.153.94","elite","AS131090","TH","CAT-BB","177","N/A","4145","socks4","4294","1","2023-07-07T10:07:18.646Z","66","1791","2708"
"116.109.68.216","elite","AS7552","VN","Viettel Corporation","245","Viettel Group","1080","socks4","4911","1","2023-07-07T10:07:18.644Z","86","2313","2685"
"115.186.139.69","elite","AS23674","PK","Nayatel (Pvt) Ltd","196","Nayatel","5678","socks4","4484","1","2023-07-07T10:07:18.640Z","99","2689","2707"
"45.196.148.8","elite","AS7018","US","AT&T Services","89","AQUA Networks Limited","5432","socks4","4590","1","2023-07-07T10:07:18.649Z","97","2615","2691"
"23.225.129.132","elite","AS132839","US","POWER LINE (HK) CO., LIMITED","193","CloudRadium L.L.C","39877","socks4","4706","1","2023-07-07T10:07:18.647Z","98","2674","2726"
"45.228.77.131","elite","AS266682","AR","Daniel Marechal","256","Daniel Marechal","5678","socks4","4999","1","2023-07-07T10:07:17.225Z","97","2700","2770"
"142.44.241.192","elite","AS16276","CA","OVH SAS","87","OVH Hosting, Inc.","7497","socks5","4887","1","2023-07-07T10:07:17.227Z","100","2709","2714"
"103.12.246.45","elite","AS134941","IN","Instant Cable Network PVT LTD","155","Instant Cable Network PVT LTD","4145","socks4","4910","82","2023-07-07T10:07:17.228Z","99","2756","2773"
"202.165.46.14","elite","AS17538","ID","Circlecom","200","N/A","5678","socks4","5003","1","2023-07-07T10:07:17.227Z","99","2739","2754"
"103.59.203.161","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","126","NET 4 U Services PVT LTD","4145","socks4","5084","1","2023-07-07T10:07:17.226Z","99","2726","2748"
"70.60.230.1","elite","AS11426","US","Spectrum","103","Fastlink Communications Inc","32940","socks4","5082","1","2023-07-07T10:07:17.228Z","100","2768","2769"
"200.70.19.92","elite","AS10834","AR","Telefonica de Argentina","254","Telefonica de Argentina","4153","socks4","4509","1","2023-07-07T10:07:17.227Z","97","2679","2759"
"181.115.232.158","elite","AS6568","BO","Entel S.A. - EntelNet","201","Entel S.A. - EntelNet","4153","socks4","4603","1","2023-07-07T10:07:16.336Z","96","2665","2774"
"104.20.233.70","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5009","1","2023-07-07T10:07:16.339Z","100","2728","2729"
"93.90.212.2","elite","AS44963","RU","Stavtelecom LLC","84","JSC KMVtelecom network","4153","socks4","1993","1","2023-07-07T10:07:16.338Z","100","2765","2772"
"153.99.126.18","elite","AS4837","CN","CHINA UNICOM China169 Backbone","196","Unicom JS","7302","socks5","4990","82","2023-07-07T10:07:16.340Z","80","2194","2756"
"103.60.137.17","elite","AS134016","IN","Velocity Internet India Private Ltd","148","Velocity Internet India Private Ltd","4153","socks4","4715","1","2023-07-07T10:07:15.019Z","99","2737","2771"
"191.241.145.23","elite","AS262784","BR","SATURNO COMUNICA??ES LTDA","213","SATURNO COMUNICAÇÕES LTDA","4153","socks5","3493","1","2023-07-07T10:07:15.020Z","99","2620","2657"
"41.242.90.3","elite","AS37612","GN","1st RO","167","N/A","57520","socks4","5089","1","2023-07-07T10:07:15.015Z","98","2646","2705"
"170.254.255.239","elite","AS52584","BR","Connect Fibra","215","Connect Fibra","45816","socks4","5011","1","2023-07-07T10:07:15.017Z","98","2705","2751"
"88.119.204.62","elite","AS8764","LT","Telia Lietuva, AB","41","Telia Lietuva, AB","4153","socks4","3509","82","2023-07-07T10:07:15.019Z","100","2769","2770"
"115.75.5.17","elite","AS7552","VN","VIETELxdsl","243","xDSL Services","38351","socks4","4986","1","2023-07-07T10:07:15.018Z","99","2716","2736"
"103.240.33.153","elite","AS132923","IN","Vihaan Telecommunication Pvt. Ltd.","139","Vihaan","8291","socks4","4999","1","2023-07-07T10:07:15.017Z","98","2691","2734"
"198.37.103.71","elite","AS397373","US","H4Y Technologies LLC","186","H4Y Technologies LLC","62220","socks4","3512","1","2023-07-07T10:07:15.016Z","100","2742","2743"
"186.251.255.213","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","206","Seanet Telecom Carazinho Eireli","31337","socks4","5100","1","2023-07-07T10:07:13.938Z","99","2718","2734"
"103.212.93.254","elite","AS138312","IN","Best Telnet Services Private Limited","189","Best telnet services private limited","45639","socks4","5199","1","2023-07-07T10:07:13.945Z","99","2736","2765"
"103.47.93.197","elite","AS134058","IN","Broban Internet Services Pvt.ltd","183","Broban  PVT Ltd.","1080","socks4","4906","1","2023-07-07T10:07:13.942Z","99","2727","2744"
"175.213.132.84","elite","AS4766","KR","Korea Telecom","286","Kornet","10001","socks4","5102","1","2023-07-07T10:07:13.939Z","100","2645","2645"
"37.130.25.184","elite","AS15874","PL","\"InterKAM\" S.C","97","Interkam Szczepanik Spolka Komandytowa","5678","socks4","4899","1","2023-07-07T10:07:13.936Z","99","2685","2701"
"177.38.5.215","elite","AS52964","BR","FÔBIO MENDES DIAS LTDA ME","286","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4994","82","2023-07-07T10:07:13.941Z","96","2649","2769"
"190.103.240.4","elite","AS27983","AR","Red Intercable Digital S.A.","287","Ercom SRL","4153","socks4","4559","1","2023-07-07T10:07:13.946Z","87","2404","2770"
"203.24.102.178","elite","AS209242","VG","Cloudflare London, LLC","94","Anaga Consulting Limited","80","socks4","4802","1","2023-07-07T10:07:13.944Z","100","2687","2687"
"96.70.52.227","elite","AS33491","US","Comcast Cable Communications, LLC","158","Comcast Cable Communications, LLC","48324","socks4","4308","1","2023-07-07T10:07:12.623Z","100","2741","2744"
"209.143.1.244","elite","AS7106","US","Com Net, Inc","94","Com","80","socks4","4900","1","2023-07-07T10:07:12.627Z","100","2692","2696"
"202.150.1.87","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE., LTD","197","VIETTEL (CAMBODIA) PTE., LTD","80","socks4","5094","1","2023-07-07T10:07:12.624Z","98","2612","2656"
"103.70.159.150","elite","AS133720","IN","speednet","121","N/A","5678","socks4","4410","1","2023-07-07T10:07:12.626Z","99","2741","2773"
"51.81.89.146","elite","AS16276","US","OVH SAS","78","OVH US LLC","50605","socks5","4810","1","2023-07-07T10:07:12.624Z","90","2490","2768"
"50.63.26.13","elite","AS398101","US","GoDaddy.com, LLC","140","GoDaddy.com, LLC","53887","socks4","5091","1","2023-07-07T10:07:12.626Z","100","2726","2728"
"139.255.41.122","elite","AS9905","ID","PT. LINKNET","177","N/A","2135","socks5","4997","1","2023-07-07T10:07:12.625Z","96","2604","2723"
"198.44.206.1","elite","AS55077","US","Light Speed Technologies LLC","100","Light Speed Technologies LLC","1337","socks4","4995","1","2023-07-07T10:07:12.623Z","100","2754","2755"
"203.112.134.74","elite","AS140641","IN","Yotta Network Services Private Limited","109","Yotta Network Services Private Limited","5678","socks4","5096","1","2023-07-07T10:07:12.626Z","100","2772","2775"
"104.19.5.247","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","5008","87","2023-07-07T10:07:11.638Z","100","2730","2730"
"176.105.199.153","anonymous","AS24812","UA","NPK Home-Net Ltd","57","NPK Home-Net Ltd","8010","http","5000","1","2023-07-07T10:07:11.649Z","89","2364","2658"
"173.212.206.86","elite","AS51167","DE","Contabo GmbH","97","Contabo GmbH","55405","socks5","4810","1","2023-07-07T10:07:11.744Z","100","2641","2646"
"181.205.89.54","elite","AS13489","CO","EPM Telecomunicaciones S.A. E.S.P.","197","Colombia Móvil","5678","socks4","5195","1","2023-07-07T10:07:11.636Z","100","2725","2732"
"95.78.119.94","elite","AS42116","RU","CJSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","74","JSC \"ER-Telecom Holding\" Naberezhnye Chelny branch","1080","socks5","5003","1","2023-07-07T10:07:09.807Z","99","2752","2767"
"185.202.7.161","elite","AS42871","AT","Michael Gamsjaeger Network","57","N/A","1455","socks4","4806","1","2023-07-07T10:07:09.807Z","63","1710","2704"
"61.7.138.52","elite","AS131090","TH","CAT Telecom Public Company Limited","182","National Telecom Public Company Limited","5678","socks4","4898","1","2023-07-07T10:07:09.803Z","80","2226","2768"
"188.114.99.171","elite","AS13335","NL","CLOUDFLARENET-EU","2","CloudFlare, Inc.","80","socks4","4704","1","2023-07-07T10:07:09.445Z","100","2769","2770"
"149.202.172.226","elite","AS16276","FR","OVH SAS","7","OVH","8080","socks4","5001","1","2023-07-07T10:07:09.544Z","100","2709","2709"
"80.240.20.183","elite","AS20473","DE","The Constant Company","11","Vultr Holdings LLC Frankfurt","30002","socks4","4702","1","2023-07-07T10:07:09.806Z","100","2704","2706"
"159.89.173.98","elite","AS14061","IN","DigitalOcean, LLC","141","DigitalOcean, LLC","60301","socks5","4793","2","2023-07-07T10:07:09.452Z","86","2350","2734"
"116.212.142.231","elite","AS38235","KH","Angkor Data Communication","194","Mekongnet","33427","socks5","4891","1","2023-07-07T10:07:09.448Z","98","2705","2772"
